treebank 	ttr	ttr_sd	msp	msp_sd	ws	ws_sd	wh	wh_sd	lh	lh_sd	is	is_sd	mfh	mfh_sd
Estonian-EDT	0.49018000000000006	0.00453702545727925	1.4696238271715718	0.010241528698783035	0.4588852546219764	0.0052907242672278545	11.896588648270797	0.023818967972412113	10.880842963268481	0.044970907435037275	9.9	0.3	3.7031693391854033	0.6467348320757692
Croatian-SET	0.39743500000000004	0.003842333275498097	1.5402387418418322	0.008670097008474067	0.49616636346203524	0.006085507458064732	11.066724534509001	0.02002196316504729	10.131976326574573	0.0215004363783987	7.0	0.0	3.7991819640108977	0.5915119680260652
Gothic-PROIEL	0.20904000000000003	0.003700999864901377	2.1544770820087935	0.02154896683760423	0.5191774332849539	0.007261614310828146	9.677418551654537	0.033761087036091986	8.227534938438241	0.02532673862597565	10.0	0.0	3.7890301046470567	0.6491506016897789
Italian-ISDT	0.277795	0.00315566553994558	1.2933975511030131	0.0074151357908911	0.46887632668995194	0.006597500090360933	9.536695431343713	0.028618878932465737	8.688966481126071	0.024722208645402286	6.0	0.0	3.4161045941533863	0.32425598198396105
Norwegian-Bokmaal	0.28753	0.002321658889673499	1.2647978268364413	0.007271176340200893	0.3995089755962821	0.007738089990019631	9.990157704104414	0.01940451675849756	9.505908246710632	0.020438871070920794	4.9	0.8306623862918073	3.8248213328016334	0.45231246558251464
Latvian-LVTB	0.42364499999999994	0.005000022499949379	1.6193729645673787	0.009597316009236617	0.4777313262503661	0.006820055825741965	11.530405077573846	0.04559366626046154	10.50560567635913	0.020476208789008323	14.1	0.3	3.8792372694846398	0.7541683486784299
Vietnamese-VTB	0.16641999999999998	0.001977776529337933	1.0	0.0	0.37355196992054557	0.005404931277167763	9.964468445494198	0.013780190090252208	9.965634401700408	0.014822221036769192	0.0	0.0	1.2532876315670651	1.2294447589889654
Korean-GSD	0.575715	0.005409207428080377	0.999040666205801	0.0006068774373356474	0.23123277798775382	0.0036495636077130108	12.853046388417061	0.023818489649474063	12.851919048855208	0.018944023733071573	0.0	0.0	1.0262146620143824	1.0262425390247358
Greek-GDT	0.24963000000000007	0.002969696954236241	1.6095540261892105	0.010387449999787413	0.5149379960809266	0.00714498634611356	9.69872797973451	0.02470827018496706	8.343238519318273	0.023205244980511665	9.0	0.0	3.6691043969112314	0.508553118565935
Spanish-GSD	0.30341	0.003602970996275151	1.222365065979613	0.0073247575211811185	0.4027826562791095	0.008610118377930331	9.511375570937055	0.03162386083837356	8.888224472697448	0.0282753098133236	6.0	0.0	3.488622972816759	0.3708088555174641
Catalan-AnCora	0.26060999999999995	0.0021720727427966147	1.2541082531466807	0.008334591087832952	0.4262998746456715	0.004360621488387541	9.437728433982613	0.020446074842364097	8.760143277577614	0.027730189954598358	6.0	0.0	3.555457090885831	0.3366533536276449
English-EWT	0.23027999999999998	0.00311241064128755	1.1737063111246246	0.0048929555727800726	0.2902387811624686	0.009628260164821035	9.706233567316975	0.02505397273964494	9.253274217526654	0.018314898399202275	7.3	0.6403124237432849	3.7961752972573324	0.3500125949561209
Swedish-LinES	0.24963499999999997	0.0015607770500619237	1.2935059724059117	0.0059895961244136485	0.40448615571058777	0.008015999793937774	9.834738057630293	0.02102783615306188	9.283751650237061	0.026822214949607938	6.4	1.2	3.6942091179560492	0.34115266088988005
Russian-SynTagRus	0.4632300000000001	0.002924653825668947	1.5538897829290241	0.009305584444191271	0.49591666388284555	0.004072436097254971	11.506637957865127	0.02269003192033854	10.648553328468	0.018956204068422255	11.0	0.0	3.745961416429992	0.6161792114862398
Czech-PDT	0.45344999999999996	0.003044913791883122	1.469359963636427	0.008988214315225129	0.4150601535615183	0.003712430373369057	11.585520972287222	0.01621962900132974	10.655009681245643	0.020011130431826438	12.2	0.4	3.9435811905669587	0.8113647289793979
Polish-LFG	0.406235	0.0029996708152729107	1.495104907442148	0.0064026354002100615	0.44387521221730886	0.004050299578295866	11.11508489010661	0.025453018597537177	10.15642498094992	0.022953951713002085	11.0	0.0	4.025157937284648	0.8263666410073764
Basque-BDT	0.37646999999999997	0.004554404461617345	1.78004704288022	0.0103897740046032	0.572159226062903	0.0029384071575425615	11.332978025619767	0.02578787085747187	9.680329217404509	0.022624103997039176	18.4	1.3564659966250538	3.772064488876204	0.776585238878974
Slovak-SNK	0.410445	0.0038869300225241885	1.4867504234119089	0.008250913134505522	0.3980358063858841	0.00567611262026565	11.273140388473372	0.02310924323622439	10.385843154479364	0.020027084476755917	10.0	0.0	3.983414613913633	0.7237288766521961
Spanish-AnCora	0.29086500000000004	0.0036220884859428752	1.2824357052466708	0.006815051125392705	0.4272829945864606	0.007184802790141112	9.607043777331059	0.030507736535621333	8.983068805395913	0.030499852289907786	6.0	0.0	3.559739898376894	0.3746479820985137
Finnish-TDT	0.508765	0.005713670011472488	1.6361806763046811	0.011101419264684621	0.5538166913492076	0.0039170598864864585	12.072703527349741	0.035016183935434125	10.708963708041907	0.023646249637768412	18.2	0.39999999999999997	3.7760015036545327	0.8386957245041887
Ancient_Greek-Perseus	0.413765	0.0034102089378804843	1.9901258544343379	0.01668283105297332	0.34923460978653253	0.00305466282248776	11.28979090354455	0.02457152046188076	9.499128719386734	0.01461103276713964	9.0	0.0	3.581029402888749	0.5562310499955632
Urdu-UDTB	0.20048500000000002	0.0036236756201404154	1.1296615824479916	0.004538293731200455	0.15908829918446793	0.005669171761093359	9.670443444753548	0.016928887684539637	9.106210277124754	0.02475133875784267	10.2	0.4	3.326315295417121	0.25520590557576556
Romanian-RRT	0.35002999999999995	0.0045387883845801865	1.508853643426247	0.015183047520187884	0.4605592468962828	0.007372776858414512	10.488724944775903	0.02388120229486926	9.659989239574251	0.025652245155907836	7.0	0.0	3.8073430659747864	0.6466215791139908
Latin-PROIEL	0.321645	0.003460451560129118	2.049424960229159	0.01688260235465186	0.4789084193987566	0.006501636399088823	10.572966391501037	0.027444078104237872	9.097317092828707	0.03195423379332249	9.0	0.0	3.886317635572014	0.670342304642432
Hungarian-Szeged	0.34861000000000003	0.0029439599182054083	1.3885800503633923	0.008992357683327888	0.5965293401239709	0.00697342370586389	10.77147601947497	0.02121448436274448	10.166445013657102	0.02806180119701774	8.0	0.0	3.723548423568399	0.6550625902121839
Hindi-HDTB	0.22200499999999995	0.003014917080120115	1.1946537966033712	0.0054348916933548656	0.21543569055143247	0.0037193051421624615	9.670331745859432	0.016132456661554807	9.02362013714341	0.02085090227828437	10.8	0.6	3.383159080120774	0.3407731989369407
Turkish-IMST	0.39918	0.004693836384025341	2.276591152337544	0.023914954826848377	0.5726130054839166	0.0042622571171418554	11.719463454032773	0.021686293301461042	10.021544287086993	0.02787042980744352	13.0	0.0	3.5888820463774906	0.7232734173493606
Slovenian-SSJ	0.39834	0.003430947391027727	1.4876058246545734	0.007368886456771216	0.44582400754346396	0.006780022390331946	10.911956406424645	0.024235273003962863	9.927182895554992	0.013993045511387267	8.0	0.0	3.937446715264278	0.6249032302429212
Swedish-Talbanken	0.26696499999999995	0.004079525094909948	1.349909450848462	0.006429380403330202	0.5274563932799238	0.005732600824290474	10.047500734114896	0.02241315880972624	9.417705077209373	0.017183787211719908	8.7	0.45825756949558405	3.626907140604009	0.4039520138380459
Italian-ParTUT	0.210335	0.0035361030810766823	1.367133089554488	0.009422674085693163	0.5576687719527054	0.008007135784755145	9.260347365502659	0.03134375071958359	8.37271703722204	0.025683236571104603	6.0	0.0	3.3906799753260395	0.3437685840862658
Czech-FicTree	0.34468	0.0022135040094836056	1.5311485059265169	0.014710339794429048	0.3443987495599746	0.004595237776603754	10.710747927958899	0.034299656702173525	9.575230939951393	0.03161853775714027	10.9	0.3	4.043733383731798	0.7160067278467329
Bulgarian-BTB	0.354335	0.002247893458329374	1.4288562387007182	0.007265278521688602	0.46786019593872374	0.008146638210809864	10.553203023514126	0.026382275123243766	9.810940198843724	0.025392476398681793	9.6	0.4898979485566356	3.756723463886768	0.5955371813121252
Ancient_Greek-PROIEL	0.314845	0.0025129116578184725	2.136624942708462	0.018411237546920443	0.3896105778439901	0.003927093235968522	10.325938868213631	0.019041963253661694	8.38706116382644	0.03581845888245175	9.0	0.0	3.8915466499498215	0.6520860427379878
Czech-CAC	0.42656	0.0051149682305953815	1.529241554608729	0.008297627342917476	0.4826069392949416	0.00416661760010219	11.366623696961208	0.015650434459780975	10.402327139607015	0.02896578849014783	11.5	0.5	3.8712639151370647	0.8032143471700275
Japanese-GSD	0.28466	0.0031223228532616483	1.0422191656312176	0.0024014427528874197	0.31720335042032566	0.012807440788771104	9.54179672074137	0.028591435629277892	9.303218334617254	0.02784947839921828	0.0	0.0	1.3441371802908866	1.3441581137422807
Korean-Kaist	0.586735	0.004995500475427875	0.9926154445463545	0.0007900616593908847	0.21407699436204056	0.002880275788999934	12.67011433421392	0.014113881038109176	12.682066284919781	0.020699251620366167	0.0	0.0	1.4088483256969238	1.4088714118346384
English-GUM	0.22901999999999995	0.0014618823482072663	1.1900165361435042	0.008183665816341886	0.34851845010035115	0.005754627979567647	9.81292902679304	0.02180752594793574	9.457360630114037	0.029975183603705845	5.0	0.0	3.729947315277555	0.35232844615743364
Romanian-Nonstandard	0.201285	0.001281415233247986	2.04874500630988	0.018159130607195838	0.3766893541260819	0.007292584208077759	9.535920135584393	0.032744648227201405	8.078312905947266	0.026556467030833187	9.0	0.0	3.9622121207487715	0.6940207318817075
German-GSD	0.36609499999999995	0.004978074426924538	1.1587922527862504	0.0036641861168454294	0.46550417165411473	0.005541103306012096	10.417267676800197	0.013335285673118334	9.704523213634932	0.03135033681345251	9.2	0.8717797887081348	3.661168587816455	0.41869361598340543
Old_Church_Slavonic-PROIEL	0.229785	0.002841306917599721	2.517819651240834	0.030673166505549864	0.4593872296917885	0.0069815486814123265	9.830748939218065	0.02403867748622141	7.992439237407919	0.026747818254481165	10.0	0.0	3.8403512853786523	0.7104302471567224
Danish-DDT	0.28762	0.004647429396989268	1.2490553802444737	0.006748156505968891	0.3927893041773901	0.006957073709544171	10.003379737586503	0.02398111508466112	9.53457656550625	0.023554732254459296	6.7	0.7810249675906654	3.8228195766996675	0.49297384629585755
Persian-Seraji	0.211045	0.002867180670972793	1.3144304203986235	0.0041346315532438584	0.19862604506802034	0.007540521934908977	9.748979387541535	0.02533449385407699	9.13604838696699	0.011983304489095735	6.0	0.0	2.8914718501759546	0.025326789208626306
Afrikaans-AfriBooms	0.169105	0.002361403184549387	1.146667092805446	0.0033225397980918983	0.5437869480977964	0.009591851348955108	8.925690071407669	0.02473065093347484	8.779463608274176	0.024644307812659673	3.0	0.0	3.8688520850368824	0.5504724859983602
French-GSD	0.297075	0.0022826793467326935	1.2270285722161938	0.005478262819436388	0.40282396925198694	0.004409457536393031	9.56772386076303	0.034388223785797034	8.834069173864025	0.029445658098476712	6.0	0.0	3.352223271288161	0.23417105467814672
Dutch-Alpino	0.28558000000000006	0.002965821977125393	1.1635225232778246	0.005937608678154479	0.3957319786477328	0.005080236006726519	9.82115599617724	0.01890226756999336	9.432931778148653	0.016077238021140597	3.0	0.0	3.566767788516855	0.28483295405027975
Chinese-GSD	0.300785	0.004747580962974725	1.0008700064876463	6.312337160316471e-05	0.5601533228001528	0.014539461646324388	10.785872981436196	0.0297268755325669	10.790637127666166	0.022952854615604514	1.0	0.0	2.7438163774893427	0.14981811330650838
Polish-SZ	0.41831000000000007	0.005009481011042957	1.44859578665372	0.006743953324457495	0.4927492008719474	0.005461593306279139	11.32979539753347	0.022676077010310585	10.445112198965582	0.024317958411066338	9.0	0.0	3.930942450762687	0.8244736775799333
Serbian-SET	0.32246	0.0024045581714735188	1.6495044372693648	0.008753472837757367	0.5392987901783692	0.007262429814774829	10.639247990606668	0.028483455063446537	9.677035515686686	0.02581052351147854	5.8	0.39999999999999997	3.5287413938698884	0.4118413821316186
Russian-GSD	0.46446	0.006258026845580006	1.4043980945787955	0.006107592379738629	0.4814428682102266	0.005229136777926091	11.657561145965166	0.015268940584534358	10.945200521210502	0.02065273275193454	12.0	0.0	3.445300692872319	0.5506331202526794
Arabic-PADT	0.26594	0.003666524239658051	1.6690355512743174	0.016317846691359227	0.28328201966740035	0.009589885781378286	10.062011542637787	0.030363840782671625	9.231623735516298	0.0275906405755419	7.0	0.0	3.2192048220271374	0.6380163528975697
Hebrew-HTB	0.26599999999999996	0.0028376927247325528	1.4106801889760456	0.005288555733392471	0.191544183925765	0.009189090995102381	9.489441758604503	0.031108615651655826	8.812019494400486	0.014642254765430953	12.0	0.0	3.580610120149688	0.5002160716448445
English-ParTUT	0.190835	0.0031407045387938054	1.200344193439189	0.00368290030662621	0.43077942853893203	0.007444122679013385	9.480559687621438	0.01711240023043886	9.142084972193064	0.01684829431243549	5.0	0.0	3.6373462378923316	0.36131734611108157
Uyghur-UDT	0.21586499999999997	0.002222391729646234	1.8852710328577422	0.009649727275825562	0.5214693640888914	0.007293182096862643	10.60857393074828	0.022172907536569954	9.394552117415198	0.01748018770035983	12.0	0.0	3.3808696087781356	0.8463428447401203
Russian-avg	0.463845	0.004591340336	1.479143939	0.007706588412	0.488679766	0.004650786438	11.58209955	0.01897948625	10.79687692	0.01980446841	11.5	0	3.595631055	0.5834061659
English-avg	0.2074216667	0.00220160355	1.210472499	0.005439833877	0.3647826038	0.007010506796	9.571949334	0.02056131208	9.175638048	0.02154856713	5.733333333	0.1333333333	3.700702176	0.3644929956
Japanese-GSDOrig	0.2593150000000001	0.0014326636032230384	1.074705797843009	0.0030242308709415057	0.317546034460806	0.011226810906551879	9.396652532051963	0.018237630476595053	9.19188682888701	0.0251023368187626	0.0	0.0	1.324551452012663	1.324566400798408
Japanese-GSDLUWOrig	0.320105	0.0035275664416138225	1.081654732913124	0.0024249911214965867	0.3509385191950839	0.006535368728463805	9.433228799154243	0.012739089347041328	9.222772034992026	0.00816980344360487	0.0	0.0	1.2963311848552963	1.296359130181235
Japanese-GSDOrig1	0.262685	0.002005249361052131	1.1085094603134908	0.0028572753653186424	0.36500903972036736	0.007305139030489322	9.600150023417418	0.021334099545410636	9.264808018132621	0.027679131723874355	9.8	0.7483314773547883	2.583225149590214	0.15834446334976376
Japanese-GSDOrig2	0.40032500000000004	0.003079711837169178	1.4709550512716472	0.010579298370839818	0.5050085102230902	0.0041276722560768826	11.242430077803892	0.03133021764724379	10.240704476491654	0.02209526332840074	11.2	0.6	3.030339603816281	0.6243245283171123
Japanese-GSDLUWOrig1	0.33759	0.003734956492383812	1.061363475091135	0.0026729544483826734	0.4480065694778396	0.007874184288043371	9.59963869216168	0.01063538097392633	9.454958076914105	0.026185940349356954	9.7	0.45825756949558405	2.6194522893450336	0.18155218820677718
Japanese-GSDLUWOrig2	0.42559500000000006	0.0026442815659456493	1.064882250382134	0.0013005069635320782	0.46379822889004796	0.005324356313191005	11.295599473940332	0.025547031679618696	11.036674723060992	0.029368735134955592	11.6	0.4898979485566356	3.1437441696980217	0.5542162820093108
